Registrant ID,Registrant Name,candidate_match_name,candidate_id,entityId,reportId1
01072947,Assembled Friends of Mels Assembly,Mel M. Marin,m-marin1,12230280,136264
01072945,Charlene Abughrin for Assembly ,Charlene Abughrin,c-abughrin1,12230244,136021
01072944,Friends of Joel,Joel Richmond,j-richmond1,12230236,136321
01072943,Friends of Nina Chat,Nina Chat,n-chat1,12230231,136234
01072942,Guerrero for Wisconsin,Samuel Guerrero,s-guerreo1,12230230,136326
01072940,Robin4Wisconsin,Robin Lillesve,r-lillesve1,12230218,136114
01072939,Michael Ayala For Assembly,Michael Ayala,m-ayala1,12230207,135795
01072938,FRIENDS OF KYLE CLEARY,Kyle Cleary,k-cleary1,12230199,135976
01072935,AmyRose for Wisconsin,AmyRose Murphy,a-murphy1,12230180,136345
01072934,Belanger for Assembly,John Belanger,j-belanger1,12230167,136037
01072933,Jane for Dane. AD77,Jane McCormick,j-mccormick1,12230011,135373
01072932,Jordan for Assembly,Jocelyn Jordan,j-jordan1,12230007,
01072931,Henry Johnson for Assembly,Henry Johnson,h-johnson1,12230001,135181
01072930,Andy Wuethrich,Andy Wuethrich,a-wuethrich1,12229986,
01072929,Friends of Michael Skivington for Wisconsin State Assembly,Michael Skivington,m-skivington1,12229971,135553
01072928,Donohue for Assembly Campaign Committee,John Donohue,j-donohue1,12229965,136430
01072922,Friends of Mike Bellagio,Mike Bellagio,m-bellagio1,12229884,135183
01072920,Mark Kjorlie for Wisconsin,Mark Kjorlie,m-kjorlie1,12229804,135765
01072917,Keith Mogel for Wisconsin Assembly 75,Keith Mogel,k-mogel1,12229744,135738
01072916,Time for Miller in the 42nd Assembly,Keith F. Miller,k-miller1,12229741,135821
01072914,James Brotz for State Assembly ,James Brotz,j-brotz1,12229732,136057
01072913,Mark S. Maier for Assembly,Mark S. Maier,m-maier1,12229724,135188
01072912,Justin Schumacher for Wisconsin,Justin Schumacher,j-schumacher1,12229718,136451
01072911,Stacey for Assembly,Rick Stacey,r-stacey1,12229692,136026
01072910,Rachael Anna Dowling,Rachael Dowling,r-dowling1,12229665,135392
01072906,Disher For Assembly,Jeff Disher,j-disher1,12228972,135653
01072905,Baney for Wisconsin,Katie Baney,k-baney1,12228968,135554
01072904,Friends of Eddie For Wisconsin,Eddie Phanichkul,e-phanichkul1,12228955,136085
01072903,Jim Green for Assembly,Jim Green,j-green1,12228940,135625
01072902,CHRISTINE FOR ASSEMBLY,Christine Maltese,c-maltese1,12228933,135777
